season,round_num,event_name,country,location,event_date,session_one,session_two,session_three,session_four,session_five
1970,7,British Grand Prix,UK,Kent,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1970,8,German Grand Prix,Germany,Hockenheim,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1970,9,Austrian Grand Prix,Austria,Spielberg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1970,10,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1970,11,Canadian Grand Prix,Canada,Quebec,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1970,12,United States Grand Prix,USA,New York State,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1970,13,Mexican Grand Prix,Mexico,Mexico City,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1971,1,South African Grand Prix,South Africa,Midrand,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1971,2,Spanish Grand Prix,Spain,Barcelona,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1971,3,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1971,4,Dutch Grand Prix,Netherlands,Zandvoort,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1971,5,French Grand Prix,France,Le Castellet,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1971,6,British Grand Prix,UK,Silverstone,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1971,7,German Grand Prix,Germany,Nürburg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1971,8,Austrian Grand Prix,Austria,Spielberg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1971,9,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1971,10,Canadian Grand Prix,Canada,Ontario,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1971,11,United States Grand Prix,USA,New York State,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1972,1,Argentine Grand Prix,Argentina,Buenos Aires,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1972,2,South African Grand Prix,South Africa,Midrand,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1972,3,Spanish Grand Prix,Spain,Madrid,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1972,4,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1972,5,Belgian Grand Prix,Belgium,Brussels,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1972,6,French Grand Prix,France,Clermont-Ferrand,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1972,7,British Grand Prix,UK,Kent,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1972,8,German Grand Prix,Germany,Nürburg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1972,9,Austrian Grand Prix,Austria,Spielberg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1972,10,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1972,11,Canadian Grand Prix,Canada,Ontario,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1972,12,United States Grand Prix,USA,New York State,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1973,1,Argentine Grand Prix,Argentina,Buenos Aires,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1973,2,Brazilian Grand Prix,Brazil,São Paulo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1973,3,South African Grand Prix,South Africa,Midrand,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1973,4,Spanish Grand Prix,Spain,Barcelona,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1973,5,Belgian Grand Prix,Belgium,Heusden-Zolder,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1973,6,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1973,7,Swedish Grand Prix,Sweden,Anderstorp,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1973,8,French Grand Prix,France,Le Castellet,,Practice 1,Practice 2,Practice 3,Qualifying,Race
