season,grand_prix,date,winner,constructor,laps,time,url
1973,Monaco,03 Jun 1973,Jackie StewartSTE,Tyrrell Ford,78,1:57:44.300,https://www.formula1.com/en/results/1973/races/319/monaco/race-result
1973,Sweden,17 Jun 1973,Denny HulmeHUL,McLaren Ford,80,1:56:46.049,https://www.formula1.com/en/results/1973/races/320/sweden/race-result
1973,France,01 Jul 1973,Ronnie PetersonPET,Lotus Ford,54,1:41:36.520,https://www.formula1.com/en/results/1973/races/321/france/race-result
1973,Great Britain,14 Jul 1973,Peter   RevsonREV,McLaren Ford,67,1:29:18.500,https://www.formula1.com/en/results/1973/races/322/great-britain/race-result
1973,Netherlands,29 Jul 1973,Jackie StewartSTE,Tyrrell Ford,72,1:39:12.450,https://www.formula1.com/en/results/1973/races/323/netherlands/race-result
1973,Germany,05 Aug 1973,Jackie StewartSTE,Tyrrell Ford,14,1:42:03.000,https://www.formula1.com/en/results/1973/races/324/germany/race-result
1973,Austria,19 Aug 1973,Ronnie PetersonPET,Lotus Ford,54,1:28:48.780,https://www.formula1.com/en/results/1973/races/325/austria/race-result
1973,Italy,09 Sep 1973,Ronnie PetersonPET,Lotus Ford,55,1:29:17.000,https://www.formula1.com/en/results/1973/races/326/italy/race-result
1973,Canada,23 Sep 1973,Peter   RevsonREV,McLaren Ford,80,1:59:04.083,https://www.formula1.com/en/results/1973/races/327/canada/race-result
1973,United States,07 Oct 1973,Ronnie PetersonPET,Lotus Ford,59,1:41:15.799,https://www.formula1.com/en/results/1973/races/328/united-states/race-result
1974,Argentina,13 Jan 1974,Denny HulmeHUL,McLaren Ford,53,1:41:02.010,https://www.formula1.com/en/results/1974/races/329/argentina/race-result
1974,Brazil,27 Jan 1974,Emerson FittipaldiFIT,McLaren Ford,32,1:24:37.060,https://www.formula1.com/en/results/1974/races/330/brazil/race-result
1974,South Africa,30 Mar 1974,Carlos ReutemannREU,Brabham Ford,78,1:42:40.960,https://www.formula1.com/en/results/1974/races/331/south-africa/race-result
1974,Spain,28 Apr 1974,Niki LaudaLAU,Ferrari,84,2:00:29.560,https://www.formula1.com/en/results/1974/races/332/spain/race-result
