season,round_num,event_name,country,location,event_date
1984,7,Canadian Grand Prix,Canada,Montreal,
1984,8,Detroit Grand Prix,USA,Detroit,
1984,9,Dallas Grand Prix,USA,Dallas,
1984,10,British Grand Prix,UK,Kent,
1984,11,German Grand Prix,Germany,Hockenheim,
1984,12,Austrian Grand Prix,Austria,Spielberg,
1984,13,Dutch Grand Prix,Netherlands,Zandvoort,
1984,14,Italian Grand Prix,Italy,Monza,
1984,15,European Grand Prix,Germany,Nürburg,
1984,16,Portuguese Grand Prix,Portugal,Estoril,
1985,1,Brazilian Grand Prix,Brazil,Rio de Janeiro,
1985,2,Portuguese Grand Prix,Portugal,Estoril,
1985,3,San Marino Grand Prix,Italy,Imola,
1985,4,Monaco Grand Prix,Monaco,Monte-Carlo,
1985,5,Canadian Grand Prix,Canada,Montreal,
1985,6,Detroit Grand Prix,USA,Detroit,
1985,7,French Grand Prix,France,Le Castellet,
1985,8,British Grand Prix,UK,Silverstone,
1985,9,German Grand Prix,Germany,Nürburg,
1985,10,Austrian Grand Prix,Austria,Spielberg,
1985,11,Dutch Grand Prix,Netherlands,Zandvoort,
1985,12,Italian Grand Prix,Italy,Monza,
1985,13,Belgian Grand Prix,Belgium,Spa,
1985,14,European Grand Prix,UK,Kent,
1985,15,South African Grand Prix,South Africa,Midrand,
1985,16,Australian Grand Prix,Australia,Adelaide,
1986,1,Brazilian Grand Prix,Brazil,Rio de Janeiro,
1986,2,Spanish Grand Prix,Spain,Jerez de la Frontera,
1986,3,San Marino Grand Prix,Italy,Imola,
1986,4,Monaco Grand Prix,Monaco,Monte-Carlo,
1986,5,Belgian Grand Prix,Belgium,Spa,
1986,6,Canadian Grand Prix,Canada,Montreal,
1986,7,Detroit Grand Prix,USA,Detroit,
1986,8,French Grand Prix,France,Le Castellet,
1986,9,British Grand Prix,UK,Kent,
1986,10,German Grand Prix,Germany,Hockenheim,
1986,11,Hungarian Grand Prix,Hungary,Budapest,
1986,12,Austrian Grand Prix,Austria,Spielberg,
1986,13,Italian Grand Prix,Italy,Monza,
1986,14,Portuguese Grand Prix,Portugal,Estoril,
1986,15,Mexican Grand Prix,Mexico,Mexico City,
1986,16,Australian Grand Prix,Australia,Adelaide,
1987,1,Brazilian Grand Prix,Brazil,Rio de Janeiro,
1987,2,San Marino Grand Prix,Italy,Imola,
1987,3,Belgian Grand Prix,Belgium,Spa,
1987,4,Monaco Grand Prix,Monaco,Monte-Carlo,
1987,5,Detroit Grand Prix,USA,Detroit,
1987,6,French Grand Prix,France,Le Castellet,
1987,7,British Grand Prix,UK,Silverstone,
1987,8,German Grand Prix,Germany,Hockenheim,
1987,9,Hungarian Grand Prix,Hungary,Budapest,
1987,10,Austrian Grand Prix,Austria,Spielberg,
1987,11,Italian Grand Prix,Italy,Monza,
1987,12,Portuguese Grand Prix,Portugal,Estoril,
1987,13,Spanish Grand Prix,Spain,Jerez de la Frontera,
1987,14,Mexican Grand Prix,Mexico,Mexico City,
1987,15,Japanese Grand Prix,Japan,Suzuka,
1987,16,Australian Grand Prix,Australia,Adelaide,
1988,1,Brazilian Grand Prix,Brazil,Rio de Janeiro,
1988,2,San Marino Grand Prix,Italy,Imola,
1988,3,Monaco Grand Prix,Monaco,Monte-Carlo,
1988,4,Mexican Grand Prix,Mexico,Mexico City,
1988,5,Canadian Grand Prix,Canada,Montreal,
1988,6,Detroit Grand Prix,USA,Detroit,
1988,7,French Grand Prix,France,Le Castellet,
1988,8,British Grand Prix,UK,Silverstone,
1988,9,German Grand Prix,Germany,Hockenheim,
1988,10,Hungarian Grand Prix,Hungary,Budapest,
1988,11,Belgian Grand Prix,Belgium,Spa,
1988,12,Italian Grand Prix,Italy,Monza,
1988,13,Portuguese Grand Prix,Portugal,Estoril,
1988,14,Spanish Grand Prix,Spain,Jerez de la Frontera,
1988,15,Japanese Grand Prix,Japan,Suzuka,
1988,16,Australian Grand Prix,Australia,Adelaide,
1989,1,Brazilian Grand Prix,Brazil,Rio de Janeiro,
1989,2,San Marino Grand Prix,Italy,Imola,
1989,3,Monaco Grand Prix,Monaco,Monte-Carlo,
1989,4,Mexican Grand Prix,Mexico,Mexico City,
1989,5,United States Grand Prix,USA,Phoenix,
1989,6,Canadian Grand Prix,Canada,Montreal,
1989,7,French Grand Prix,France,Le Castellet,
1989,8,British Grand Prix,UK,Silverstone,
1989,9,German Grand Prix,Germany,Hockenheim,
1989,10,Hungarian Grand Prix,Hungary,Budapest,
1989,11,Belgian Grand Prix,Belgium,Spa,
1989,12,Italian Grand Prix,Italy,Monza,
1989,13,Portuguese Grand Prix,Portugal,Estoril,
1989,14,Spanish Grand Prix,Spain,Jerez de la Frontera,
1989,15,Japanese Grand Prix,Japan,Suzuka,
1989,16,Australian Grand Prix,Australia,Adelaide,
1990,1,United States Grand Prix,USA,Phoenix,
1990,2,Brazilian Grand Prix,Brazil,São Paulo,
1990,3,San Marino Grand Prix,Italy,Imola,
1990,4,Monaco Grand Prix,Monaco,Monte-Carlo,
1990,5,Canadian Grand Prix,Canada,Montreal,
1990,6,Mexican Grand Prix,Mexico,Mexico City,
1990,7,French Grand Prix,France,Le Castellet,
1990,8,British Grand Prix,UK,Silverstone,
1990,9,German Grand Prix,Germany,Hockenheim,
1990,10,Hungarian Grand Prix,Hungary,Budapest,
1990,11,Belgian Grand Prix,Belgium,Spa,
1990,12,Italian Grand Prix,Italy,Monza,
1990,13,Portuguese Grand Prix,Portugal,Estoril,
1990,14,Spanish Grand Prix,Spain,Jerez de la Frontera,
1990,15,Japanese Grand Prix,Japan,Suzuka,
1990,16,Australian Grand Prix,Australia,Adelaide,
1991,1,United States Grand Prix,USA,Phoenix,
1991,2,Brazilian Grand Prix,Brazil,São Paulo,
1991,3,San Marino Grand Prix,Italy,Imola,
1991,4,Monaco Grand Prix,Monaco,Monte-Carlo,
1991,5,Canadian Grand Prix,Canada,Montreal,
1991,6,Mexican Grand Prix,Mexico,Mexico City,
1991,7,French Grand Prix,France,Magny Cours,
1991,8,British Grand Prix,UK,Silverstone,
1991,9,German Grand Prix,Germany,Hockenheim,
1991,10,Hungarian Grand Prix,Hungary,Budapest,
1991,11,Belgian Grand Prix,Belgium,Spa,
1991,12,Italian Grand Prix,Italy,Monza,
1991,13,Portuguese Grand Prix,Portugal,Estoril,
1991,14,Spanish Grand Prix,Spain,Montmeló,
1991,15,Japanese Grand Prix,Japan,Suzuka,
1991,16,Australian Grand Prix,Australia,Adelaide,
1992,1,South African Grand Prix,South Africa,Midrand,
1992,2,Mexican Grand Prix,Mexico,Mexico City,
1992,3,Brazilian Grand Prix,Brazil,São Paulo,
1992,4,Spanish Grand Prix,Spain,Montmeló,
1992,5,San Marino Grand Prix,Italy,Imola,
1992,6,Monaco Grand Prix,Monaco,Monte-Carlo,
1992,7,Canadian Grand Prix,Canada,Montreal,
1992,8,French Grand Prix,France,Magny Cours,
1992,9,British Grand Prix,UK,Silverstone,
1992,10,German Grand Prix,Germany,Hockenheim,
1992,11,Hungarian Grand Prix,Hungary,Budapest,
1992,12,Belgian Grand Prix,Belgium,Spa,
1992,13,Italian Grand Prix,Italy,Monza,
1992,14,Portuguese Grand Prix,Portugal,Estoril,
1992,15,Japanese Grand Prix,Japan,Suzuka,
1992,16,Australian Grand Prix,Australia,Adelaide,
1993,1,South African Grand Prix,South Africa,Midrand,
